Domain,Course Progression,Competency,Learning Objective,Enduring Understandings,Essential Questions,"Assessment Project
Check Bloom's & Webb's",Mastery Criteria / Success Metrics,UDL Accommodations,Activities
0. Foundations,Micro-Credential,"0.1. Professional Communication
Typing & Clarity","I can communicate in writing digitally quickly, clearly, and effectively.","1. Written communication is critical for career success.
2. Touch typing enables effective written communication.
3. I have to make sure my audience understands what I'm trying to say.","1. How will I need to communicate in writing to be successful in my career?
2. How can I become efficient and effective at written communication?
3. How can I make sure my audience understands what I'm saying?",Type a post for your workplace messaging network introducing yourself to your new team.,"1. 40+ WPM
2. 90%+ accuracy
3. Easily understandable by a 10 year old
4. Effectively convey your meaning
5. Effective for the context
","Engagement:
Representation: Interpretation
Action: Voice-to-text",
0. Foundations,Micro-Credential,"0.2. Tech Stack Fluency
Hardware, OS, Software",I can use my tech stack fluently and effectively.,,,,,"Engagement:
Representation:
Action:",
0. Foundations,Micro-Credential,"0.3. Organization
Analog, Local, & Cloud","I can organize my information, thinking, and documents in a way that I can find what I need quickly and consistently without losing or forgetting things.",,,,,"Engagement:
Representation:
Action:",
0. Foundations,Micro-Credential,"0.4. Prioritization & Time Management
Motivation, Planning, & Focus",I can motivate myself and prioritize my time to get the most important things done effectively without getting overwhelmed or too distracted.,,,,,"Engagement:
Representation:
Action:",
0. Foundations,Micro-Credential,"0.5. Measuring Impact
Analysis & Visualization
",I can measure the impact of projects toward a goal and track that metric over time.,,,,,"Engagement:
Representation:
Action:",
1. AI Leadership,Micro-Credential,"1.1. Fundamentals
How AI works",I can understand the basic math and science that make generative and agentic AI tools work,,,,,,
1. AI Leadership,Micro-Credential,"1.2. Efficiency
Doing Better Faster",I can use AI on appropriate tasks to do better work in less time with fewer resources.,1. ,,,,"Engagement:
Representation:
Action:",
1. AI Leadership,Micro-Credential,"1.3. Iteration
Rapid Revision",I can use AI to generate multiple ideas and improve upon the best.,,,,,"Engagement:
Representation:
Action:",
1. AI Leadership,Full Credential,"1.4. Creativity
Expanding Human Potential","I can use AI to realize & enrich ideas, solutions, and creations that would be difficult to achieve at a human pace.",,,,,"Engagement:
Representation:
Action:",
1. AI Leadership,Full Credential,"1.5. Agency
Leading Through Change",I can use & improve AI to learn new skills and integrate new tools as human systems evolve.,,,,,"Engagement:
Representation:
Action:",
1. AI Leadership,Full Credential,"1.6. Ethics
Critical Thinking & Connection","I can use AI to help all of Creation thrive by improving lives, communities, and our environment.",,,,,"Engagement:
Representation:
Action:",
2. WordPress,Micro-Credential,2.1. WordPress Production,I can create professional web content using WordPress.,,,,,"Engagement:
Representation:
Action:",
2. WordPress,Micro-Credential,"2.2. LLM Production
",I can create professional work using LLM clients.,,,,,"Engagement:
Representation:
Action:",
2. WordPress,Full Credential,2.3. UI Production,I can create effective User Interfaces for professional applications,,,,,"Engagement:
Representation:
Action:",
2. WordPress,Full Credential,"2.4. Full Stack Development
PHP, Python, & JavaScript","I can create Full Stack products using PHP, Python, or JavaScript including debugging my code & cleaning my data.",,,,,"Engagement:
Representation:
Action:",
2. WordPress,Full Credential,2.5. AI Enablement,"I can help a team adopt, scale, and implement new AI tools to improve team outcomes.",,,,,"Engagement:
Representation:
Action:",
3. Success Skills,Micro-Credential,3.1. Resume & Digital Portfolio,I can create a compelling personal brand to help me earn the opportunities I seek,,,Produce or update your resume & digital portfolio using at least one AI tool,,"Engagement:
Representation:
Action:",
3. Success Skills,Full Credential,3.2. Compensation & Living Wages,I can plan and advocate for Living Wages that help me realize my lifestyle goals,,,"Backwards plan your living wage requirements for today, 3 years, and 5 years from now to provide for a target lifestyle",,"Engagement:
Representation:
Action:",
3. Success Skills,Full Credential,3.3. Networking & Advocacy,I can connect with professional peers and mentors and use those connections to realize my career goals,,,,,"Engagement:
Representation:
Action:",
3. Success Skills,Full Credential,3.4. Healthy Conflict,I can navigate multiple types of conflict in healthy ways that help me realize positive outcomes,"1. Most people are not angry at you. They are angry at feeling ignored, uninformed, or unimportant.
2. Uncertainty is more damaging than bad news — a clear ""no with a path"" builds more trust than a vague ""I'm working on it"".
3. Every conflict has at least two perspectives. Understanding both is what makes resolution possible.
4. Before you can solve anything, you need to understand what the person actually cannot do/is angry about. Calmly ask before jumping to conclusions.
5. Delivering a difficult truth professionally is a skill that requires preparation, courage, and empathy in equal measure.
6. People remember how you made them feel in a difficult moment far longer than they remember the outcome.","1. Do I know what made this person frustrated? Do I understand their problem well enough to explain it back to them before I respond?
2. How do I say something negative in a way that makes this person respect me more, not less?
3. Has this person felt understood before I moved to explaining/solving?
4. What does the situation look like from the other side?","Think of a real conflict you have experienced or witnessed (in a professional, academic, or open source context). It could be a PR rejection with no clear feedback, a scope disagreement, a missed deadline, or any situation where tension arose between people with different needs or expectations.
Write a structured reflection in three parts:
Diagnose: describe the conflict. What was the stated problem? Try to identify the layers of frustration. What was the real underlying problem? What questions would you ask (or wish someone had asked) to get to that real problem faster?
Respond: write two responses to the conflict: one from each side. e.g: if your scenario is a rejected PR, write the contributor's response to the rejection and the maintainer's response if they had communicated the rejection clearly and constructively from the start. Show how a ""no with a path"" looks from both perspectives.
Reflect: what made this conflict hard? What would have made it easier?","1. Correctly identifies the difference between the stated problem and the underlying need
2. Asks diagnostic questions in a logical sequence before jumping to a response
3. Delivers the difficult truth clearly (no false hope, no avoidance)
4. Demonstrates empathy before solution in both responses
5. Reflection is honest and specific, and is not defensive
6. Tone is professional and constructive, even when the answer is ""no""","Engagement: Learners bring their own real conflict situation, making the assessment immediately relevant and personally meaningful. Any real life scenario is valid (a misread Slack message counts, as well as a project disagreement, or a rejected PR)
Representation: The conflict framework is presented as a written guide and a visual decision flowchart showing the ""diagnose > respond > reflect"" sequence.
Action: The assessment is written, removing the pressure of live performance for learners who are new to conflict or shy about it.","1. Conflict Type Mapping: Learn to identify conflict layers and why each calls for a different response
2. WHY The Chicken Crossed The Road: Practice setting context and diagnosing real needs through structured questioning before jumping to solutions
3. ""I've Looked at Life from Both Sides Now"": Analyze real conflicts from both perspectives simultaneously to practice empathy
4. Curated Transparency: Case studies on how much to share, when, and with whom
5. The ""No With a Path"" Framework: Practice turning a negative into a constructive, trust-building response using real WordPress community scenarios"
3. Success Skills,Full Credential,3.5. Presenting & Storytelling,I can present myself and my work in ways that are clear and compelling,,,,,"Engagement:
Representation:
Action:",
